0,深圳市艺梦来服饰有限公司
1,广州华腾实业投资有限公司
2,常州市美圣商贸有限公司
3,广州华腾实业投资有限公司
4,青岛汇通联合资产管理有限公司
5,广州沣鼎实业投资有限公司
6,广州沣鼎实业投资有限公司
7,北京互连众信科技有限公司
8,中源鹿控股（深圳）有限公司
9,科讯嘉联信息技术有限公司
10,广州沣鼎实业投资有限公司
11,南京奢狐电子商务有限公司
12,广州沣鼎实业投资有限公司
13,深圳市圣莉斯歌咨询管理有限公司
14,广州市巴图鲁信息科技有限公司
15,杭州宠恒电子商务有限公司
16,深圳市维度统计咨询股份有限公司
17,上海众结网络科技有限公司
18,上海太平洋房屋服务有限公司
19,中源鹿控股（深圳）有限公司
20,上海放牛娃信息科技有限公司
22,湖南舒比奇生活用品有限公司
23,广东铭太信息科技有限公司
24,济南雍贵企业管理咨询有限公司
25,北京中天方木教育科技有限公司
26,美律电子（深圳）有限公司
27,广州睿豪皮具实业有限公司
28,广州潮洋皮具贸易有限公司
29,滴滴出行
30,北京景气经济研究院有限公司成都分公司
31,南京我爱我家房屋租赁置换有限公司
32,苏州我爱我家房地产经纪有限公司海尚壹品分店
33,上海盛付通电子支付服务有限公司
34,华光（中国）投资有限公司
35,广州细刻网络科技有限公司
36,深圳市中海通物流股份有限公司
37,武汉深创在线科技有限公司
38,平安好房（上海）电子商务有限公司
39,上海点美投资咨询有限公司
40,东莞市华南专利商标事务所有限公司
41,美团点评
42,汇通天下（广州）科技有限公司
43,深圳淘腾网络科技有限公司
44,中亿云投资有限公司
46,北京学语乐童文化发展有限公司
48,四川康德赛医疗科技有限公司
49,南京链家房地产经纪有限公司
50,诺心食品（上海）有限公司
51,南京博为峰软件技术有限公司
52,苏州链家房地产经纪有限公司
53,北京优捷信达信息科技有限公司
54,PPmoney万惠集团
55,汇付天下有限公司
56,常州九石商务信息咨询有限公司
57,华泰期货有限公司
58,恒泰证券股份有限公司上海吴淞路证券营业部
59,宝岛眼镜
60,西安黑曜石展示设计有限责任公司
61,陕西汉唐中天信息技术有限公司
62,北京大旺食品有限公司丰台分公司（旺旺食品）
63,北京华润北贸医药经营有限公司
64,杭州原极品牌管理有限公司
65,深圳市博恒睿文化传媒有限公司
66,深圳德坤物流有限公司
67,广州坚润科技有限公司
68,华壹信融投资管理（北京）有限责任公司
69,深圳市康比特信息技术有限公司
70,深圳市中地软件工程有限公司
71,深圳市数聚能源科技有限公司
72,黑龙江省容维证券数据程序化有限公司天津分公司
73,广州九尾信息科技有限公司
74,苏州斯多福信息咨询有限公司
75,武汉众汇信资产管理有限公司
76,上海宾谷网络科技有限公司
77,杭州梦柯服饰有限公司
78,广州威曼服饰有限公司
79,湖南联信科技有限公司
80,北京新华祥瑞科技有限公司
81,重庆近友网络技术有限公司
82,上海语德教育科技有限公司
83,上海新炬网络信息技术股份有限公司
84,上海迈可服饰洗涤护理有限公司
85,北京越铖国际科技有限公司
86,北京高力国际物业服务有限公司
87,湖南爱运动体育用品有限公司
88,字节跳动
89,上海博弋信息科技有限公司
90,杭州闹海房地产经纪有限公司
91,拾影家居（上海）有限公司
92,广州沣鼎实业投资有限公司
93,天睿信科技术（北京）有限公司
94,欢聚时代（多玩YY）
95,福建彩虹叮当婴童用品有限公司
96,江苏银信融通信息科技有限公司
97,明宇创影科技（成都）有限公司
98,东腾（嘉兴）信息科技有限公司
99,北京环球国广媒体科技有限公司
100,广东万城万充
101,新湃资本投资管理（内蒙古）有限公司
102,广州市合众实业投资有限公司
103,武汉启瑞科技发展有限公司
104,杭州联华华商集团有限公司
105,江西仁和堂医药连锁有限公司
106,深圳前海用友力合金融服务有限公司
107,上海陆鹰实业有限公司
